Team,Games Played,Wins,Draws,Losses,Points Accumulated,Average Points per Game,Goals Scored,Average Goals per Game,Goals Conceded,Average Goals Conceded per Game,Goal Difference,Average Goal Difference,Clean Sheets,Average Clean Sheets,Yellow Cards,Average Yellow Cards,Red Cards,Average Red Cards
Argentina,4,1,1,2,4,1.0,6,1.5,9,2.25,−3,−0.75,0,0.0,11,2.75,0,0.0
Australia,3,0,1,2,1,0.33,2,0.67,5,1.67,−3,−1.00,0,0.0,7,2.33,0,0.0
Belgium,7,6,0,1,18,2.57,16,2.29,6,0.86,+10,1.43,3,0.43,11,1.57,0,0.0
Brazil,5,3,1,1,10,2.0,8,1.6,3,0.6,+5,1.00,3,0.6,7,1.4,0,0.0
Colombia,4,2,1,1,7,1.75,6,1.5,3,0.75,+3,0.75,2,0.5,9,2.25,1,0.25
Costa Rica,3,0,1,2,1,0.33,2,0.67,5,1.67,−3,−1.00,0,0.0,6,2.0,0,0.0
Croatia,7,4,2,1,14,2.0,14,2.0,9,1.29,+5,0.71,2,0.29,15,2.14,0,0.0
Denmark,4,1,3,0,6,1.5,3,0.75,2,0.5,+1,0.25,2,0.5,6,1.5,0,0.0
Egypt,3,0,0,3,0,0.0,2,0.67,6,2.0,−4,−1.33,0,0.0,5,1.67,0,0.0
England,7,3,1,3,10,1.43,12,1.71,8,1.14,+4,0.57,1,0.14,8,1.14,0,0.0
France,7,6,1,0,19,2.71,14,2.0,6,0.86,+8,1.14,4,0.57,12,1.71,0,0.0
Germany,3,1,0,2,3,1.0,2,0.67,4,1.33,−2,−0.67,0,0.0,2,0.67,1,0.33
Iceland,3,0,1,2,1,0.33,2,0.67,5,1.67,−3,−1.00,0,0.0,3,1.0,0,0.0
Iran,3,1,1,1,4,1.33,2,0.67,2,0.67,0,0.00,1,0.33,7,2.33,0,0.0
Japan,4,1,1,2,4,1.0,6,1.5,7,1.75,−1,−0.25,0,0.0,5,1.25,0,0.0
Mexico,4,2,0,2,6,1.5,3,0.75,6,1.5,−3,−0.75,1,0.25,9,2.25,0,0.0
Morocco,3,0,1,2,1,0.33,2,0.67,4,1.33,−2,−0.67,0,0.0,8,2.67,0,0.0
Nigeria,3,1,0,2,3,1.0,3,1.0,4,1.33,−1,−0.33,1,0.33,4,1.33,0,0.0
Panama,3,0,0,3,0,0.0,2,0.67,11,3.67,−9,−3.00,0,0.0,11,3.67,0,0.0
Peru,3,1,0,2,3,1.0,2,0.67,2,0.67,0,0.00,1,0.33,5,1.67,0,0.0
Poland,3,1,0,2,3,1.0,2,0.67,5,1.67,−3,−1.00,1,0.33,3,1.0,0,0.0
Portugal,4,1,2,1,5,1.25,6,1.5,6,1.5,0,0.00,1,0.25,7,1.75,0,0.0
Russia,5,2,2,1,8,1.6,11,2.2,7,1.4,+4,0.80,1,0.2,6,1.2,1,0.2
Saudi Arabia,3,1,0,2,3,1.0,2,0.67,7,2.33,−5,−1.67,0,0.0,1,0.33,0,0.0
Senegal,3,1,1,1,4,1.33,4,1.33,4,1.33,0,0.00,0,0.0,6,2.0,0,0.0
Serbia,3,1,0,2,3,1.0,2,0.67,4,1.33,−2,−0.67,1,0.33,9,3.0,0,0.0
South Korea,3,1,0,2,3,1.0,3,1.0,3,1.0,0,0.00,1,0.33,10,3.33,0,0.0
Spain,4,1,3,0,6,1.5,7,1.75,6,1.5,+1,0.25,1,0.25,2,0.5,0,0.0
Sweden,5,3,0,2,9,1.8,6,1.2,4,0.8,+2,0.40,3,0.6,8,1.6,0,0.0
Switzerland,4,1,2,1,5,1.25,5,1.25,5,1.25,0,0.00,0,0.0,9,2.25,1,0.25
Tunisia,3,1,0,2,3,1.0,5,1.67,8,2.67,−3,−1.00,0,0.0,4,1.33,0,0.0
Uruguay,5,4,0,1,12,2.4,7,1.4,3,0.6,+4,0.80,3,0.6,3,0.6,0,0.0
